district_id,incumbent_party,incumbency_code,year
FL-14,D,1,2018
FL-15,Open,0,2018
FL-16,R,-1,2018
FL-17,Open,0,2018
FL-18,R,-1,2018
FL-19,R,-1,2018
FL-20,D,1,2018
FL-21,D,1,2018
FL-22,D,1,2018
FL-23,D,1,2018
FL-24,D,1,2018
FL-25,R,-1,2018
FL-26,R,-1,2018
FL-27,Open,0,2018
GA-01,R,-1,2018
GA-02,D,1,2018
GA-03,R,-1,2018
GA-04,D,1,2018
GA-05,D,1,2018
GA-06,Open,0,2018
GA-07,R,-1,2018
GA-08,R,-1,2018
GA-09,R,-1,2018
GA-10,R,-1,2018
GA-11,R,-1,2018
GA-12,R,-1,2018
GA-13,D,1,2018
GA-14,R,-1,2018
HI-01,Open,0,2018
HI-02,D,1,2018
IA-01,R,-1,2018
IA-02,D,1,2018
IA-03,R,-1,2018
IA-04,R,-1,2018
ID-01,Open,0,2018
ID-02,R,-1,2018
IL-01,D,1,2018
IL-02,D,1,2018
IL-03,D,1,2018
IL-04,Open,0,2018
IL-05,D,1,2018
IL-06,R,-1,2018
IL-07,D,1,2018
IL-08,D,1,2018
IL-09,D,1,2018
IL-10,D,1,2018
IL-11,D,1,2018
IL-12,R,-1,2018
IL-13,R,-1,2018
IL-14,R,-1,2018
IL-15,R,-1,2018
IL-16,R,-1,2018
IL-17,D,1,2018
IL-18,R,-1,2018
IN-01,D,1,2018
IN-02,R,-1,2018
IN-03,R,-1,2018
IN-04,Open,0,2018
IN-05,R,-1,2018
IN-06,Open,0,2018
IN-07,D,1,2018
IN-08,R,-1,2018
IN-09,R,-1,2018
KS-01,R,-1,2018
KS-02,Open,0,2018
KS-03,R,-1,2018
KS-04,Open,0,2018
KY-01,R,-1,2018
KY-02,R,-1,2018
KY-03,D,1,2018
KY-04,R,-1,2018
KY-05,R,-1,2018
KY-06,R,-1,2018
LA-01,R,-1,2018
LA-02,D,1,2018
LA-03,R,-1,2018
LA-04,R,-1,2018
LA-05,R,-1,2018
LA-06,R,-1,2018
MA-01,D,1,2018
MA-02,D,1,2018
MA-03,Open,0,2018
MA-04,D,1,2018
MA-05,D,1,2018
MA-06,D,1,2018
MA-07,Open,0,2018
MA-08,D,1,2018
MA-09,D,1,2018
MD-01,R,-1,2018
MD-02,D,1,2018
MD-03,D,1,2018
MD-04,D,1,2018
MD-05,D,1,2018
MD-06,Open,0,2018
MD-07,D,1,2018
MD-08,D,1,2018
ME-01,D,1,2018
ME-02,R,-1,2018
MI-01,R,-1,2018
MI-02,R,-1,2018
MI-03,R,-1,2018
MI-04,R,-1,2018
MI-05,D,1,2018
MI-06,R,-1,2018
MI-07,R,-1,2018
MI-08,R,-1,2018
MI-09,Open,0,2018
MI-10,R,-1,2018
MI-11,Open,0,2018
MI-12,D,1,2018
MI-13,Open,0,2018
MI-14,D,1,2018
MN-01,Open,0,2018
MN-02,R,-1,2018
MN-03,R,-1,2018
MN-04,D,1,2018
MN-05,Open,0,2018
MN-06,R,-1,2018
MN-07,D,1,2018
MN-08,Open,0,2018
MO-01,D,1,2018
MO-02,R,-1,2018
MO-03,R,-1,2018
MO-04,R,-1,2018
MO-05,D,1,2018
MO-06,R,-1,2018
MO-07,R,-1,2018
MO-08,R,-1,2018
MS-01,R,-1,2018
MS-02,D,1,2018
MS-03,Open,0,2018
MS-04,R,-1,2018
MT-01,Open,0,2018
NC-01,D,1,2018
NC-02,R,-1,2018
NC-03,R,-1,2018
NC-04,D,1,2018
NC-05,R,-1,2018
NC-06,R,-1,2018
NC-07,R,-1,2018
NC-08,R,-1,2018
NC-09,Open,0,2018
NC-10,R,-1,2018
NC-11,R,-1,2018
NC-12,D,1,2018
NC-13,R,-1,2018
ND-01,Open,0,2018
NE-01,R,-1,2018
NE-02,R,-1,2018
NE-03,R,-1,2018
NH-01,Open,0,2018
NH-02,D,1,2018
NJ-01,D,1,2018
NJ-02,Open,0,2018
NJ-03,R,-1,2018
NJ-04,R,-1,2018
NJ-05,D,1,2018
NJ-06,D,1,2018
NJ-07,R,-1,2018
NJ-08,D,1,2018
NJ-09,D,1,2018
NJ-10,D,1,2018
NJ-11,Open,0,2018
NJ-12,D,1,2018
NM-01,Open,0,2018
NM-02,Open,0,2018
NM-03,D,1,2018
NV-01,D,1,2018
NV-02,R,-1,2018
NV-03,Open,0,2018
NV-04,Open,0,2018
NY-01,R,-1,2018
NY-02,R,-1,2018
NY-03,D,1,2018
NY-04,D,1,2018
NY-05,D,1,2018
NY-06,D,1,2018
NY-07,D,1,2018
NY-08,D,1,2018
NY-09,D,1,2018
NY-10,D,1,2018
NY-11,R,-1,2018
NY-12,D,1,2018
NY-13,D,1,2018
NY-14,Open,0,2018
NY-15,D,1,2018
NY-16,D,1,2018
NY-17,D,1,2018
NY-18,D,1,2018
NY-19,R,-1,2018
NY-20,D,1,2018
NY-21,R,-1,2018
NY-22,R,-1,2018
NY-23,R,-1,2018
NY-24,R,-1,2018
NY-25,Open,0,2018
NY-26,D,1,2018
NY-27,R,-1,2018
OH-01,R,-1,2018
OH-02,R,-1,2018
OH-03,D,1,2018
OH-04,R,-1,2018
OH-05,R,-1,2018
OH-06,R,-1,2018
OH-07,R,-1,2018
OH-08,R,-1,2018
OH-09,D,1,2018
OH-10,R,-1,2018
OH-11,D,1,2018
OH-12,Open,0,2018
OH-13,D,1,2018
OH-14,R,-1,2018
OH-15,R,-1,2018
OH-16,Open,0,2018
OK-01,Open,0,2018
OK-02,R,-1,2018
OK-03,R,-1,2018
OK-04,R,-1,2018
OK-05,R,-1,2018
OR-01,D,1,2018
OR-02,R,-1,2018
OR-03,D,1,2018
OR-04,D,1,2018
OR-05,D,1,2018
PA-01,R,-1,2018
PA-02,D,1,2018
PA-03,D,1,2018
PA-04,Open,0,2018
PA-05,D,1,2018
PA-06,Open,0,2018
PA-07,Open,0,2018
PA-08,D,1,2018
PA-09,Open,0,2018
PA-10,R,-1,2018
PA-11,Open,0,2018
PA-12,R,-1,2018
PA-13,Open,0,2018
PA-14,Open,0,2018
PA-15,R,-1,2018
PA-16,R,-1,2018
PA-17,R,-1,2018
PA-18,D,1,2018
RI-01,D,1,2018
RI-02,D,1,2018
SC-01,Open,0,2018
SC-02,R,-1,2018
SC-03,R,-1,2018
SC-04,Open,0,2018
SC-05,Open,0,2018
SC-06,D,1,2018
SC-07,R,-1,2018
SD-01,Open,0,2018
TN-01,R,-1,2018
TN-02,Open,0,2018
TN-03,R,-1,2018
TN-04,R,-1,2018
TN-05,D,1,2018
TN-06,Open,0,2018
TN-07,Open,0,2018
TN-08,R,-1,2018
TN-09,D,1,2018
TX-01,R,-1,2018
TX-02,Open,0,2018
TX-03,Open,0,2018
TX-04,R,-1,2018
TX-05,Open,0,2018
TX-06,Open,0,2018
TX-07,R,-1,2018
TX-08,R,-1,2018
TX-09,D,1,2018
TX-10,R,-1,2018
TX-11,R,-1,2018
TX-12,R,-1,2018
TX-13,R,-1,2018
TX-14,R,-1,2018
TX-15,D,1,2018
TX-16,Open,0,2018
TX-17,R,-1,2018
TX-18,D,1,2018
TX-19,R,-1,2018
TX-20,D,1,2018
TX-21,Open,0,2018
TX-22,R,-1,2018
TX-23,R,-1,2018
TX-24,R,-1,2018
TX-25,R,-1,2018
TX-26,R,-1,2018
TX-27,Open,0,2018
TX-28,D,1,2018
TX-29,Open,0,2018
TX-30,D,1,2018
TX-31,R,-1,2018
TX-32,R,-1,2018
TX-33,D,1,2018
TX-34,D,1,2018
TX-35,D,1,2018
TX-36,R,-1,2018
UT-01,R,-1,2018
UT-02,R,-1,2018
UT-03,Open,0,2018
UT-04,R,-1,2018
VA-01,R,-1,2018
VA-02,R,-1,2018
VA-03,D,1,2018
VA-04,D,1,2018
VA-05,Open,0,2018
VA-06,Open,0,2018
VA-07,R,-1,2018
VA-08,D,1,2018
VA-09,R,-1,2018
VA-10,R,-1,2018
VA-11,D,1,2018
VT-01,D,1,2018
WA-01,D,1,2018
WA-02,D,1,2018
WA-03,R,-1,2018
WA-04,R,-1,2018
WA-05,R,-1,2018
WA-06,D,1,2018
WA-07,D,1,2018
WA-08,Open,0,2018
WA-09,D,1,2018
WA-10,D,1,2018
WI-01,Open,0,2018
WI-02,D,1,2018
WI-03,D,1,2018
WI-04,D,1,2018
WI-05,R,-1,2018
WI-06,R,-1,2018
WI-07,R,-1,2018
WI-08,R,-1,2018
WV-01,R,-1,2018
WV-02,R,-1,2018
WV-03,Open,0,2018
WY-01,R,-1,2018
