District,PVI,"Party of
representative"
Connecticut 3,D+8,Democratic
Connecticut 4,D+13,Democratic
Connecticut 5,D+3,Democratic
Delaware at-large,D+8,Democratic
Florida 1,R+18,Republican
Florida 2,R+8,Republican
Florida 3,R+10,Republican
Florida 4,R+5,Republican
Florida 5,R+10,Republican
Florida 6,R+14,Republican
Florida 7,R+5,Republican
Florida 8,R+11,Republican
Florida 9,D+4,Democratic
Florida 10,D+13,Democratic
Florida 11,R+8,Republican
Florida 12,R+17,Republican
Florida 13,R+5,Republican
Florida 14,D+5,Democratic
Florida 15,R+5,Republican
Florida 16,R+7,Republican
Florida 17,R+11,Republican
Florida 18,R+14,Republican
Florida 19,R+14,Republican
Florida 20,D+22,Democratic
Florida 21,R+7,Republican
Florida 22,D+4,Democratic
Florida 23,D+2,Democratic
Florida 24,D+18,Democratic
Florida 25,D+5,Democratic
Florida 26,R+16,Republican
Florida 27,R+6,Republican
Florida 28,R+10,Republican
Georgia 1,R+8,Republican
Georgia 2,D+4,Democratic
Georgia 3,R+15,Republican
Georgia 4,D+27,Democratic
Georgia 5,D+36,Democratic
Georgia 6,D+25,Democratic
Georgia 7,R+11,Republican
Georgia 8,R+15,Republican
Georgia 9,R+17,Republican
Georgia 10,R+11,Republican
Georgia 11,R+12,Republican
Georgia 12,R+7,Republican
Georgia 13,D+21,Democratic
Georgia 14,R+19,Republican
Hawaii 1,D+13,Democratic
Hawaii 2,D+12,Democratic
Idaho 1,R+22,Republican
Idaho 2,R+13,Republican
Illinois 1,D+18,Democratic
Illinois 2,D+18,Democratic
Illinois 3,D+17,Democratic
Illinois 4,D+17,Democratic
Illinois 5,D+19,Democratic
Illinois 6,D+3,Democratic
Illinois 7,D+34,Democratic
Illinois 8,D+5,Democratic
Illinois 9,D+19,Democratic
Illinois 10,D+12,Democratic
Illinois 11,D+6,Democratic
Illinois 12,R+22,Republican
Illinois 13,D+5,Democratic
Illinois 14,D+3,Democratic
Illinois 15,R+20,Republican
Illinois 16,R+11,Republican
Illinois 17,D+3,Democratic
Indiana 1,D+1,Democratic
Indiana 2,R+13,Republican
Indiana 3,R+16,Republican
Indiana 4,R+15,Republican
Indiana 5,R+8,Republican
Indiana 6,R+16,Republican
Indiana 7,D+21,Democratic
Indiana 8,R+18,Republican
Indiana 9,R+15,Republican
Iowa 1,R+4,Republican
Iowa 2,R+4,Republican
Iowa 3,R+2,Republican
Iowa 4,R+15,Republican
Kansas 1,R+16,Republican
Kansas 2,R+10,Republican
Kansas 3,D+2,Democratic
Kansas 4,R+12,Republican
Kentucky 1,R+23,Republican
Kentucky 2,R+20,Republican
Kentucky 3,D+10,Democratic
Kentucky 4,R+18,Republican
Kentucky 5,R+32,Republican
Kentucky 6,R+7,Republican
Louisiana 1,R+19,Republican
Louisiana 2,D+17,Democratic
Louisiana 3,R+22,Republican
Louisiana 4,R+26,Republican
Louisiana 5,R+18,Republican
Louisiana 6,D+8,Democratic
Maine 1,D+11,Democratic
Maine 2,R+4,Democratic
Maryland 1,R+8,Republican
Maryland 2,D+10,Democratic
Maryland 3,D+12,Democratic
Maryland 4,D+39,Democratic
Maryland 5,D+17,Democratic
Maryland 6,D+3,Democratic
Maryland 7,D+31,Democratic
Maryland 8,D+30,Democratic
Massachusetts 1,D+8,Democratic
Massachusetts 2,D+13,Democratic
Massachusetts 3,D+11,Democratic
Massachusetts 4,D+11,Democratic
Massachusetts 5,D+24,Democratic
Massachusetts 6,D+11,Democratic
Massachusetts 7,D+34,Democratic
Massachusetts 8,D+15,Democratic
Massachusetts 9,D+6,Democratic
Michigan 1,R+11,Republican
Michigan 2,R+15,Republican
Michigan 3,D+4,Democratic
Michigan 4,R+3,Republican
Michigan 5,R+13,Republican
Michigan 6,D+12,Democratic
Michigan 7,EVEN,Republican
Michigan 8,R+1,Democratic
Michigan 9,R+16,Republican
Michigan 10,R+3,Republican
Michigan 11,D+9,Democratic
Michigan 12,D+21,Democratic
Michigan 13,D+22,Democratic
Minnesota 1,R+6,Republican
Minnesota 2,D+3,Democratic
Minnesota 3,D+11,Democratic
Minnesota 4,D+18,Democratic
Minnesota 5,D+32,Democratic
Minnesota 6,R+10,Republican
Minnesota 7,R+18,Republican
Minnesota 8,R+7,Republican
Mississippi 1,R+18,Republican
Mississippi 2,D+11,Democratic
Mississippi 3,R+14,Republican
Mississippi 4,R+21,Republican
Missouri 1,D+29,Democratic
Missouri 2,R+4,Republican
Missouri 3,R+13,Republican
Missouri 4,R+21,Republican
Missouri 5,D+12,Democratic
Missouri 6,R+19,Republican
Missouri 7,R+21,Republican
Missouri 8,R+27,Republican
Montana 1,R+5,Republican
Montana 2,R+15,Republican
Nebraska 1,R+6,Republican
Nebraska 2,D+3,Republican
Nebraska 3,R+27,Republican
Nevada 1,D+2,Democratic
Nevada 2,R+7,Republican
Nevada 3,D+1,Democratic
Nevada 4,D+2,Democratic
New Hampshire 1,D+2,Democratic
New Hampshire 2,D+2,Democratic
New Jersey 1,D+10,Democratic
New Jersey 2,R+5,Republican
New Jersey 3,D+5,Democratic
New Jersey 4,R+14,Republican
New Jersey 5,D+2,Democratic
New Jersey 6,D+5,Democratic
New Jersey 7,EVEN,Republican
New Jersey 8,D+15,Democratic
New Jersey 9,D+2,Democratic
New Jersey 10,D+27,Democratic
New Jersey 11,D+5,Democratic
New Jersey 12,D+13,Democratic
New Mexico 1,D+7,Democratic
New Mexico 2,EVEN,Democratic
New Mexico 3,D+3,Democratic
New York 1,R+4,Republican
New York 2,R+6,Republican
New York 3,EVEN,Democratic
New York 4,D+2,Democratic
New York 5,D+24,Democratic
New York 6,D+6,Democratic
New York 7,D+25,Democratic
New York 8,D+24,Democratic
New York 9,D+22,Democratic
New York 10,D+32,Democratic
New York 11,R+10,Republican
New York 12,D+33,Democratic
New York 13,D+32,Democratic
New York 14,D+19,Democratic
New York 15,D+27,Democratic
New York 16,D+18,Democratic
New York 17,D+1,Republican
New York 18,D+2,Democratic
New York 19,D+1,Democratic
New York 20,D+8,Democratic
New York 21,R+10,Republican
New York 22,D+4,Democratic
New York 23,R+10,Republican
New York 24,R+11,Republican
New York 25,D+10,Democratic
New York 26,D+11,Democratic
North Carolina 1,R+1,Democratic
North Carolina 2,D+17,Democratic
North Carolina 3,R+10,Republican
North Carolina 4,D+23,Democratic
North Carolina 5,R+9,Republican
North Carolina 6,R+9,Republican
North Carolina 7,R+7,Republican
North Carolina 8,R+10,Republican
North Carolina 9,R+8,Republican
North Carolina 10,R+9,Republican
North Carolina 11,R+5,Republican
North Carolina 12,D+24,Democratic
North Carolina 13,R+8,Republican
North Carolina 14,R+8,Republican
North Dakota at-large,R+18,Republican
Ohio 1,D+3,Democratic
Ohio 2,R+24,Republican
Ohio 3,D+21,Democratic
Ohio 4,R+18,Republican
Ohio 5,R+14,Republican
Ohio 6,R+16,Republican
Ohio 7,R+5,Republican
Ohio 8,R+12,Republican
Ohio 9,R+3,Democratic
Ohio 10,R+3,Republican
Ohio 11,D+28,Democratic
Ohio 12,R+16,Republican
Ohio 13,EVEN,Democratic
Ohio 14,R+9,Republican
Ohio 15,R+4,Republican
Oklahoma 1,R+11,Republican
Oklahoma 2,R+28,Republican
Oklahoma 3,R+23,Republican
Oklahoma 4,R+17,Republican
Oklahoma 5,R+9,Republican
Oregon 1,D+20,Democratic
Oregon 2,R+14,Republican
Oregon 3,D+24,Democratic
Oregon 4,D+6,Democratic
Oregon 5,D+4,Democratic
Oregon 6,D+6,Democratic
Pennsylvania 1,D+1,Republican
Pennsylvania 2,D+19,Democratic
Pennsylvania 3,D+40,Democratic
Pennsylvania 4,D+8,Democratic
Pennsylvania 5,D+15,Democratic
Pennsylvania 6,D+6,Democratic
Pennsylvania 7,R+1,Republican
Pennsylvania 8,R+4,Republican
Pennsylvania 9,R+19,Republican
Pennsylvania 10,R+3,Republican
Pennsylvania 11,R+11,Republican
Pennsylvania 12,D+10,Democratic
Pennsylvania 13,R+23,Republican
Pennsylvania 14,R+17,Republican
Pennsylvania 15,R+19,Republican
Pennsylvania 16,R+11,Republican
Pennsylvania 17,D+3,Democratic
Rhode Island 1,D+12,Democratic
Rhode Island 2,D+4,Democratic
South Carolina 1,R+6,Republican
South Carolina 2,R+7,Republican
South Carolina 3,R+21,Republican
South Carolina 4,R+11,Republican
South Carolina 5,R+11,Republican
South Carolina 6,D+13,Democratic
South Carolina 7,R+12,Republican
South Dakota at-large,R+15,Republican
Tennessee 1,R+29,Republican
Tennessee 2,R+17,Republican
Tennessee 3,R+18,Republican
Tennessee 4,R+21,Republican
Tennessee 5,R+8,Republican
Tennessee 6,R+17,Republican
Tennessee 7,R+10,Republican
Tennessee 8,R+21,Republican
Tennessee 9,D+23,Democratic
Texas 1,R+25,Republican
Texas 2,R+12,Republican
Texas 3,R+10,Republican
Texas 4,R+16,Republican
Texas 5,R+13,Republican
Texas 6,R+14,Republican
Texas 7,D+12,Democratic
Texas 8,R+16,Republican
Texas 9,D+24,Democratic
Texas 10,R+12,Republican
Texas 11,R+22,Republican
Texas 12,R+11,Republican
Texas 13,R+24,Republican
Texas 14,R+17,Republican
Texas 15,R+7,Republican
Texas 16,D+11,Democratic
Texas 17,R+14,Republican
Texas 18,D+21,Democratic
Texas 19,R+25,Republican
Texas 20,D+12,Democratic
Texas 21,R+11,Republican
Texas 22,R+9,Republican
Texas 23,R+7,Republican
Texas 24,R+7,Republican
Texas 25,R+18,Republican
Texas 26,R+11,Republican
Texas 27,R+14,Republican
Texas 28,R+2,Democratic
Texas 29,D+12,Democratic
Texas 30,D+25,Democratic
Texas 31,R+11,Republican
Texas 32,D+13,Democratic
Texas 33,D+19,Democratic
Texas 34,EVEN,Democratic
Texas 35,D+19,Democratic
Texas 36,R+18,Republican
Texas 37,D+26,Democratic
Texas 38,R+10,Republican
Utah 1,R+10,Republican
Utah 2,R+10,Republican
Utah 3,R+10,Republican
Utah 4,R+14,Republican
Vermont at-large,D+17,Democratic
Virginia 1,R+3,Republican
Virginia 2,EVEN,Republican
Virginia 3,D+18,Democratic
Virginia 4,D+17,Democratic
Virginia 5,R+6,Republican
Virginia 6,R+12,Republican
Virginia 7,D+2,Democratic
Virginia 8,D+26,Democratic
Virginia 9,R+22,Republican
Virginia 10,D+6,Democratic
Virginia 11,D+18,Democratic
Washington 1,D+15,Democratic
Washington 2,D+12,Democratic
Washington 3,R+2,Democratic
Washington 4,R+10,Republican
Washington 5,R+5,Republican
Washington 6,D+10,Democratic
Washington 7,D+39,Democratic
Washington 8,D+3,Democratic
Washington 9,D+22,Democratic
Washington 10,D+9,Democratic
West Virginia 1,R+22,Republican
West Virginia 2,R+20,Republican
Wisconsin 1,R+2,Republican
Wisconsin 2,D+21,Democratic
Wisconsin 3,R+3,Republican
Wisconsin 4,D+26,Democratic
Wisconsin 5,R+11,Republican
Wisconsin 6,R+8,Republican
Wisconsin 7,R+11,Republican
Wisconsin 8,R+8,Republican
Wyoming at-large,R+23,Republican
