District,Inc.,Candidates,Dem Candidate,Rep Candidate
Ky. 3,Open,"M. McGARVEY
S. RAY",M. McGARVEY,S. RAY
Fla. 15,Open,"A. COHN
L. LEE",A. COHN,L. LEE
Fla. 27,Rep.,"A. TADDEO
M. SALAZAR",A. TADDEO,M. SALAZAR
Pa. 4,Dem.,"M. DEAN
C. NASCIMENTO",M. DEAN,C. NASCIMENTO
Va. 5,Rep.,"J. THRONEBURG
B. GOOD",J. THRONEBURG,B. GOOD
Md. 2,Dem.,"D. RUPPERSBERGER
N. AMBROSE",D. RUPPERSBERGER,N. AMBROSE
Del.,Dem.,"L. ROCHESTER
L. MURPHY",L. ROCHESTER,L. MURPHY
Fla. 7,Open,"K. GREEN
C. MILLS",K. GREEN,C. MILLS
N.Y. 11,Rep.,"M. ROSE
N. MALLIOTAKIS",M. ROSE,N. MALLIOTAKIS
Iowa 2,Rep.,"L. MATHIS
A. HINSON",L. MATHIS,A. HINSON
N.J. 6,Dem.,"F. PALLONE
S. KILEY",F. PALLONE,S. KILEY
N.Y. 20,Dem.,"P. TONKO
E. JOY",P. TONKO,E. JOY
N.C. 9,Rep.,"B. CLARK
R. HUDSON",B. CLARK,R. HUDSON
Wash. 2,Dem.,"R. LARSEN
D. MATTHEWS",R. LARSEN,D. MATTHEWS
N.C. 11,Open,"J. FERRARA
C. EDWARDS",J. FERRARA,C. EDWARDS
Ariz. 2,Dem.,"T. O'HALLERAN
E. CRANE",T. O'HALLERAN,E. CRANE
Wis. 1,Rep.,"A. ROE
B. STEIL",A. ROE,B. STEIL
Tex. 23,Rep.,"J. LIRA
T. GONZALES",J. LIRA,T. GONZALES
Conn. 2,Dem.,"J. COURTNEY
M. FRANCE",J. COURTNEY,M. FRANCE
Fla. 28,Rep.,"R. ASENCIO
C. GIMENEZ",R. ASENCIO,C. GIMENEZ
Ga. 6,Open,"B. CHRISTIAN
R. McCORMICK",B. CHRISTIAN,R. McCORMICK
N.C. 7,Rep.,"C. GRAHAM
D. ROUZER",C. GRAHAM,D. ROUZER
Pa. 10,Rep.,"S. DANIELS
S. PERRY",S. DANIELS,S. PERRY
Fla. 21,Rep.,"C. ROBINSON
B. MAST",C. ROBINSON,B. MAST
R.I. 1,Dem.,"D. CICILLINE
A. WATERS",D. CICILLINE,A. WATERS
Mich. 4,Rep.,"J. ALFONSO
B. HUIZENGA",J. ALFONSO,B. HUIZENGA
Me. 1,Dem.,"C. PINGREE
E. THELANDER",C. PINGREE,E. THELANDER
Calif. 23,Rep.,"D. MARSHALL
J. OBERNOLTE",D. MARSHALL,J. OBERNOLTE
Mass. 1,Dem.,"R. NEAL
D. MARTILLI",R. NEAL,D. MARTILLI
S.C. 2,Rep.,"J. LARKINS
J. WILSON",J. LARKINS,J. WILSON
Conn. 4,Dem.,"J. HIMES
J. STEVENSON",J. HIMES,J. STEVENSON
Ky. 6,Rep.,"G. YOUNG
A. BARR",G. YOUNG,A. BARR
Tenn. 5,Open,"H. CAMPBELL
A. OGLES",H. CAMPBELL,A. OGLES
Ohio 7,Open,"M. DIEMER
M. MILLER",M. DIEMER,M. MILLER
Colo. 6,Dem.,"J. CROW
S. MONAHAN",J. CROW,S. MONAHAN
Minn. 1,Rep.,"J. ETTINGER
B. FINSTAD",J. ETTINGER,B. FINSTAD
Calif. 24,Dem.,"S. CARBAJAL
B. ALLEN",S. CARBAJAL,B. ALLEN
Mo. 2,Rep.,"T. GUNBY
A. WAGNER",T. GUNBY,A. WAGNER
Ga. 7,Dem.,"L. McBATH
M. GONSALVES",L. McBATH,M. GONSALVES
Ark. 2,Rep.,"Q. HATHAWAY
F. HILL",Q. HATHAWAY,F. HILL
Md. 3,Dem.,"J. SARBANES
Y. MORGAN",J. SARBANES,Y. MORGAN
Calif. 31,Dem.,"G. NAPOLITANO
D. MARTINEZ",G. NAPOLITANO,D. MARTINEZ
Fla. 2,Rep.,"A. LAWSON
N. DUNN",A. LAWSON,N. DUNN
S.C. 1,Rep.,"A. ANDREWS
N. MACE",A. ANDREWS,N. MACE
N.J. 9,Dem.,"B. PASCRELL
B. PREMPEH",B. PASCRELL,B. PREMPEH
Mo. 5,Dem.,"E. CLEAVER
J. TURK",E. CLEAVER,J. TURK
Colo. 3,Rep.,"A. FRISCH
L. BOEBERT",A. FRISCH,L. BOEBERT
Calif. 39,Dem.,"M. TAKANO
A. SMITH",M. TAKANO,A. SMITH
Fla. 11,Rep.,"S. MUNNS
D. WEBSTER",S. MUNNS,D. WEBSTER
Ga. 12,Rep.,"L. JOHNSON
R. ALLEN",L. JOHNSON,R. ALLEN
N.C. 12,Dem.,"A. ADAMS
T. LEE",A. ADAMS,T. LEE
Minn. 8,Rep.,"J. SCHULTZ
P. STAUBER",J. SCHULTZ,P. STAUBER
Ohio 15,Rep.,"G. JOSEPHSON
M. CAREY",G. JOSEPHSON,M. CAREY
Ariz. 7,Dem.,"R. GRIJALVA
L. POZZOLO",R. GRIJALVA,L. POZZOLO
Wash. 5,Rep.,"N. HILL
C. McMORRIS RODGERS",N. HILL,C. McMORRIS RODGERS
Tex. 3,Open,"S. SANDEEPIVASTAVA
K. SELF",S. SANDEEPIVASTAVA,K. SELF
Neb. 1,Rep.,"P. BROOKS
M. FLOOD",P. BROOKS,M. FLOOD
Ga. 1,Rep.,"W. HERRING
E. CARTER",W. HERRING,E. CARTER
Pa. 5,Dem.,"M. SCANLON
D. GALLUCH",M. SCANLON,D. GALLUCH
Calif. 51,Dem.,"S. JACOBS
S. CAPLAN",S. JACOBS,S. CAPLAN
Fla. 5,Open,"–
–",–,–
Colo. 5,Rep.,"D. TORRES
D. LAMBORN",D. TORRES,D. LAMBORN
Calif. 5,Rep.,"M. BARKLEY
T. McCLINTOCK",M. BARKLEY,T. McCLINTOCK
Mass. 3,Dem.,"L. TRAHAN
D. TRAN",L. TRAHAN,D. TRAN
N.Y. 24,Rep.,"S. HOLDEN
C. TENNEY",S. HOLDEN,C. TENNEY
N.J. 12,Dem.,"B. COLEMAN
D. MAYFIELD",B. COLEMAN,D. MAYFIELD
Va. 1,Rep.,"H. JONES
R. WITTMAN",H. JONES,R. WITTMAN
N.Y. 23,Open,"M. PIA
N. LANGWORTHY",M. PIA,N. LANGWORTHY
Conn. 3,Dem.,"R. DeLAURO
L. DENARDIS",R. DeLAURO,L. DENARDIS
Fla. 10,Open,"M. FROST
C. WIMBISH",M. FROST,C. WIMBISH
Conn. 1,Dem.,"J. LARSON
L. LAZOR",J. LARSON,L. LAZOR
Fla. 16,Rep.,"J. SCHNEIDER
V. BUCHANAN",J. SCHNEIDER,V. BUCHANAN
Calif. 48,Rep.,"S. HOULAHAN
D. ISSA",S. HOULAHAN,D. ISSA
N.C. 2,Dem.,"D. ROSS
C. VILLAVERDE",D. ROSS,C. VILLAVERDE
Ohio 10,Rep.,"D. ESRATI
M. TURNER",D. ESRATI,M. TURNER
Ga. 11,Rep.,"A. DAZA
B. LOUDERMILK",A. DAZA,B. LOUDERMILK
Utah 2,Rep.,"N. MITCHELL
C. STEWART",N. MITCHELL,C. STEWART
Tex. 32,Dem.,"C. ALLRED
A. SWAD",C. ALLRED,A. SWAD
Calif. 38,Dem.,"L. SÁNCHEZ
E. CHING",L. SÁNCHEZ,E. CHING
Wash. 1,Dem.,"S. DelBENE
V. CAVALERI",S. DelBENE,V. CAVALERI
Kan. 2,Rep.,"P. SCHMIDT
J. LATURNER",P. SCHMIDT,J. LATURNER
Calif. 1,Rep.,"M. STEINER
D. LAMALFA",M. STEINER,D. LAMALFA
Ind. 5,Rep.,"J. LAKE
V. SPARTZ",J. LAKE,V. SPARTZ
S.C. 7,Open,"D. SCOTT
R. FRY",D. SCOTT,R. FRY
Nev. 2,Rep.,"E. KRAUSE
M. AMODEI",E. KRAUSE,M. AMODEI
Pa. 16,Rep.,"D. PASTORE
M. KELLY",D. PASTORE,M. KELLY
Calif. 50,Dem.,"S. PETERS
C. GUSTAFSON",S. PETERS,C. GUSTAFSON
Calif. 46,Dem.,"L. CORREA
C. GONZALES",L. CORREA,C. GONZALES
S.C. 5,Rep.,"E. HUNDLEY
R. NORMAN",E. HUNDLEY,R. NORMAN
Fla. 3,Rep.,"D. HAWK
K. CAMMACK",D. HAWK,K. CAMMACK
Fla. 17,Rep.,"A. KALE
G. STEUBE",A. KALE,G. STEUBE
Tex. 16,Dem.,"V. ESCOBAR
I. JACKSON",V. ESCOBAR,I. JACKSON
Calif. 35,Dem.,"N. TORRES
M. CARGILE",N. TORRES,M. CARGILE
Tex. 24,Rep.,"J. McDOWELL
B. VAN DUYNE",J. McDOWELL,B. VAN DUYNE
Md. 1,Rep.,"H. MIZEUR
A. HARRIS",H. MIZEUR,A. HARRIS
Mass. 6,Dem.,"S. MOULTON
R. MAY",S. MOULTON,R. MAY
Wis. 7,Rep.,"R. AUSMAN
T. TIFFANY",R. AUSMAN,T. TIFFANY
Mich. 1,Rep.,"B. LORINSER
J. BERGMAN",B. LORINSER,J. BERGMAN
Tex. 10,Rep.,"L. NUNO
M. McCAUL",L. NUNO,M. McCAUL
N.C. 4,Open,"V. FOUSHEE
C. GEELS",V. FOUSHEE,C. GEELS
Tenn. 7,Rep.,"O. KELLY
M. GREEN",O. KELLY,M. GREEN
Hawaii 2,Open,"J. TOKUDA
J. AKANA",J. TOKUDA,J. AKANA
Va. 4,Dem.,"A. McEACHIN
L. BENJAMIN",A. McEACHIN,L. BENJAMIN
Tex. 7,Dem.,"L. FLETCHER
J. TEAGUE",L. FLETCHER,J. TEAGUE
Tex. 22,Rep.,"J. JORDAN
T. NEHLS",J. JORDAN,T. NEHLS
Mass. 2,Dem.,"J. McGOVERN
J. PAQUETTE",J. McGOVERN,J. PAQUETTE
N.C. 5,Rep.,"K. PARRISH
V. FOXX",K. PARRISH,V. FOXX
Mich. 6,Dem.,"D. DINGELL
W. WILLIAMS",D. DINGELL,W. WILLIAMS
Calif. 28,Dem.,"J. CHU
W. HALLMAN",J. CHU,W. HALLMAN
Tex. 21,Rep.,"C. ZAPATA
C. ROY",C. ZAPATA,C. ROY
Tex. 38,Open,"D. KLUSSMANN
W. HUNT",D. KLUSSMANN,W. HUNT
Tex. 17,Rep.,"M. WOODS
P. SESSIONS",M. WOODS,P. SESSIONS
Pa. 11,Rep.,"B. HOLLISTER
L. SMUCKER",B. HOLLISTER,L. SMUCKER
Miss. 2,Dem.,"B. THOMPSON
B. FLOWERS",B. THOMPSON,B. FLOWERS
Ind. 7,Dem.,"A. CARSON
A. GRABOVSKY",A. CARSON,A. GRABOVSKY
La. 4,Open,"–
–",–,–
Minn. 6,Rep.,"J. HENDRICKS
T. EMMER",J. HENDRICKS,T. EMMER
Fla. 8,Rep.,"J. TERRY
B. POSEY",J. TERRY,B. POSEY
Tex. 5,Rep.,"T. HILL
L. GOODEN",T. HILL,L. GOODEN
S.C. 6,Dem.,"J. CLYBURN
D. BUCKNER",J. CLYBURN,D. BUCKNER
Tex. 20,Dem.,"J. CASTRO
K. SINCLAIR",J. CASTRO,K. SINCLAIR
Okla. 5,Rep.,"J. TILL
S. BICE",J. TILL,S. BICE
Ohio 14,Rep.,"M. KILBOY
D. JOYCE",M. KILBOY,D. JOYCE
Wash. 4,Rep.,"D. WHITE
D. NEWHOUSE",D. WHITE,D. NEWHOUSE
Wis. 8,Rep.,"J. HANCOCK
M. GALLAGHER",J. HANCOCK,M. GALLAGHER
Vt.,Open,"B. BALINT
L. MADDEN",B. BALINT,L. MADDEN
Minn. 4,Dem.,"B. McCOLLUM
M. XIONG",B. McCOLLUM,M. XIONG
Ind. 2,Open,"P. STEURY
R. YAKYM",P. STEURY,R. YAKYM
Utah 1,Rep.,"R. JONES
B. MOORE",R. JONES,B. MOORE
Va. 3,Dem.,"R. SCOTT
T. NAMKUNG",R. SCOTT,T. NAMKUNG
Md. 5,Dem.,"S. HOYER
C. PALOMBI",S. HOYER,C. PALOMBI
Okla. 1,Rep.,"A. MARTIN
K. HERN",A. MARTIN,K. HERN
Ariz. 5,Rep.,"J. RAMOS
A. BIGGS",J. RAMOS,A. BIGGS
Ill. 1,Open,"J. JACKSON
E. CARLSON",J. JACKSON,E. CARLSON
Kan. 4,Rep.,"BOB HERNANDEZ
R. ESTES",BOB HERNANDEZ,R. ESTES
N.Y. 21,Rep.,"M. CASTELLI
E. STEFANIK",M. CASTELLI,E. STEFANIK
Ala. 7,Dem.,"T. SEWELL
B. NICHOLS",T. SEWELL,B. NICHOLS
Tex. 27,Rep.,"M. PEREZ
M. CLOUD",M. PEREZ,M. CLOUD
Ala. 5,Open,"K. STANTON
D. STRONG",K. STANTON,D. STRONG
Tex. 14,Rep.,"M. WILLIAMS
R. WEBER",M. WILLIAMS,R. WEBER
Colo. 2,Dem.,"J. NEGUSE
M. DAWSON",J. NEGUSE,M. DAWSON
Va. 11,Dem.,"G. CONNOLLY
J. MYLES",G. CONNOLLY,J. MYLES
Mich. 5,Rep.,"B. GOLDBERG
T. WALBERG",B. GOLDBERG,T. WALBERG
Ga. 8,Rep.,"D. BUTLER
A. SCOTT",D. BUTLER,A. SCOTT
Va. 6,Rep.,"J. LEWIS
B. CLINE",J. LEWIS,B. CLINE
Calif. 52,Dem.,"J. VARGAS
T. GEFFENEY",J. VARGAS,T. GEFFENEY
Ga. 3,Rep.,"V. ALMONORD
D. FERGUSON",V. ALMONORD,D. FERGUSON
Ohio 8,Rep.,"V. ENOCH
W. DAVIDSON",V. ENOCH,W. DAVIDSON
Ill. 9,Dem.,"J. SCHAKOWSKY
M. RICE",J. SCHAKOWSKY,M. RICE
Ore. 1,Dem.,"S. BONAMICI
C. MANN",S. BONAMICI,C. MANN
Ohio 6,Rep.,"L. LYRAS
B. JOHNSON",L. LYRAS,B. JOHNSON
Ill. 3,Open,"D. RAMIREZ
J. BURAU",D. RAMIREZ,J. BURAU
Calif. 36,Dem.,"T. LIEU
J. COLLINS",T. LIEU,J. COLLINS
N.Y. 26,Dem.,"B. HIGGINS
S. SAMS",B. HIGGINS,S. SAMS
Colo. 4,Rep.,"I. McCORKLE
K. BUCK",I. McCORKLE,K. BUCK
Fla. 19,Rep.,"C. BANYAI
B. DONALDS",C. BANYAI,B. DONALDS
La. 5,Open,"–
–",–,–
Ill. 2,Dem.,"R. KELLY
T. LYNCH",R. KELLY,T. LYNCH
Calif. 42,Open,"R. GARCIA
J. BRISCOE",R. GARCIA,J. BRISCOE
W.Va. 2,Rep.,"B. WENDELL
A. MOONEY",B. WENDELL,A. MOONEY
Hawaii 1,Dem.,"E. CASE
C. KRESS",E. CASE,C. KRESS
N.Y. 6,Dem.,"G. MENG
T. ZMICH",G. MENG,T. ZMICH
N.C. 3,Rep.,"B. GASKINS
G. MURPHY",B. GASKINS,G. MURPHY
Calif. 14,Dem.,"E. SWALWELL
A. HAYDEN",E. SWALWELL,A. HAYDEN
Ill. 5,Dem.,"M. QUIGLEY
T. HANSON",M. QUIGLEY,T. HANSON
Ind. 9,Open,"M. FYFE
E. HOUCHIN",M. FYFE,E. HOUCHIN
Calif. 4,Dem.,"M. THOMPSON
M. BROCK",M. THOMPSON,M. BROCK
Tex. 35,Open,"G. CASAR
D. McQUEEN",G. CASAR,D. McQUEEN
Ark. 3,Rep.,"L. HAYS
S. WOMACK",L. HAYS,S. WOMACK
Tex. 29,Dem.,"S. GARCIA
R. SCHAFRANEK",S. GARCIA,R. SCHAFRANEK
Utah 4,Rep.,"D. McDONALD
B. OWENS",D. McDONALD,B. OWENS
Idaho 2,Rep.,"W. NORMAN
M. SIMPSON",W. NORMAN,M. SIMPSON
Tex. 2,Rep.,"R. FULFORD
D. CRENSHAW",R. FULFORD,D. CRENSHAW
Tex. 8,Open,"L. JONES
M. LUTTRELL",L. JONES,M. LUTTRELL
Ga. 10,Open,"T. GREEN
M. COLLINS",T. GREEN,M. COLLINS
Tenn. 6,Rep.,"R. COOPER
J. ROSE",R. COOPER,J. ROSE
Wis. 5,Rep.,"M. SOMEREN
S. FITZGERALD",M. SOMEREN,S. FITZGERALD
Calif. 18,Dem.,"Z. LOFGREN
PETER HERNANDEZ",Z. LOFGREN,PETER HERNANDEZ
Tex. 12,Rep.,"T. HUNT
K. GRANGER",T. HUNT,K. GRANGER
Ore. 2,Rep.,"J. YETTER
C. BENTZ",J. YETTER,C. BENTZ
N.J. 8,Open,"R. MENENDEZ
M. ARROYO",R. MENENDEZ,M. ARROYO
Fla. 26,Rep.,"C. OLIVO
M. BALART",C. OLIVO,M. BALART
Tex. 4,Rep.,"I. OMERE
P. FALLON",I. OMERE,P. FALLON
Ind. 4,Rep.,"R. DAY
J. BAIRD",R. DAY,J. BAIRD
Ohio 3,Dem.,"J. BEATTY
L. STAHLEY",J. BEATTY,L. STAHLEY
Calif. 7,Dem.,"D. MATSUI
M. SEMENENKO",D. MATSUI,M. SEMENENKO
N.Y. 16,Dem.,"J. BOWMAN
M. FLISSER",J. BOWMAN,M. FLISSER
Miss. 3,Rep.,"S. YOUNG
M. GUEST",S. YOUNG,M. GUEST
Calif. 32,Dem.,"B. SHERMAN
L. VOLOTZKY",B. SHERMAN,L. VOLOTZKY
Tenn. 4,Rep.,"W. STEELE
S. DESJARLAIS",W. STEELE,S. DESJARLAIS
Calif. 20,Rep.,"M. WOOD
K. McCARTHY",M. WOOD,K. McCARTHY
Wis. 2,Dem.,"M. POCAN
E. OLSEN",M. POCAN,E. OLSEN
Fla. 1,Rep.,"R. JONES
M. GAETZ",R. JONES,M. GAETZ
Ohio 12,Rep.,"A. ELTON
T. BALDERSON",A. ELTON,T. BALDERSON
Mont. 2,Rep.,"P. RONNING
M. ROSENDALE",P. RONNING,M. ROSENDALE
La. 6,Open,"–
–",–,–
Ill. 16,Rep.,"E. HADERLEIN
D. LAHOOD",E. HADERLEIN,D. LAHOOD
Ind. 8,Rep.,"R. McCORMICK
L. BUCSHON",R. McCORMICK,L. BUCSHON
Ky. 4,Rep.,"M. LEHMAN
T. MASSIE",M. LEHMAN,T. MASSIE
Tex. 18,Dem.,"S. LEE
C. MONTIEL",S. LEE,C. MONTIEL
Okla. 4,Rep.,"M. BRANNON
T. COLE",M. BRANNON,T. COLE
